Repo,URL,File,Line,Type,Description
"KayoRonald/euajudo-back-end","https://github.com/KayoRonald/euajudo-back-end.git","src/shared/http/server.ts",15,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"joaowinkelmann/finalflow-api","https://github.com/joaowinkelmann/finalflow-api.git","src/main.ts",11,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'"
"iury-assuncao/voluntaria-tech-backend","https://github.com/iury-assuncao/voluntaria-tech-backend.git","src/index.ts",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"FelipeModena/trabalhante-base-api","https://github.com/FelipeModena/trabalhante-base-api.git","src/main.ts",7,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"brunokobi/tccbackend","https://github.com/brunokobi/tccbackend.git","src/server.ts",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"FelipeRodrigues1337/mybarber-backend","https://github.com/FelipeRodrigues1337/mybarber-backend.git","src/shared/infra/http/server.ts",19,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"ralfferreira/hexperience-api","https://github.com/ralfferreira/hexperience-api.git","src/shared/infra/http/server.ts",21,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"leonardo02lobo/Calcular-Indice-Academico-Backend","https://github.com/leonardo02lobo/Calcular-Indice-Academico-Backend.git","src/app.ts",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Matheus-Merlos/Crassus-API","https://github.com/Matheus-Merlos/Crassus-API.git","src/main.ts",7,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'"
"renanjava/testes-escola-de-TI","https://github.com/renanjava/testes-escola-de-TI.git","src/main.ts",9,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'"
"renanjava/testes-escola-de-TI","https://github.com/renanjava/testes-escola-de-TI.git","src/infrastructure/controllers/__tests__/integration/auth.controller.int-spec.ts",88,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"renanjava/testes-escola-de-TI","https://github.com/renanjava/testes-escola-de-TI.git","src/infrastructure/controllers/__tests__/integration/auth.controller.int-spec.ts",98,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"YasArcher/back-economia","https://github.com/YasArcher/back-economia.git","src/app.ts",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Herick2D/bot-academico","https://github.com/Herick2D/bot-academico.git","src/server.ts",11,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"luissavighago/chatbotAcademico-frontend","https://github.com/luissavighago/chatbotAcademico-frontend.git","src/app/components/home/header/header.component.ts",15,"HARDCODED_SECRET","Potential hardcoded secret in property: apiKey"
"Trino11/TFG-Backend-API_REST","https://github.com/Trino11/TFG-Backend-API_REST.git","src/index.ts",53,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Trino11/TFG-Backend_Auth-API_REST","https://github.com/Trino11/TFG-Backend_Auth-API_REST.git","src/index.ts",39,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"javier-gomariz-prats/PokeCore","https://github.com/javier-gomariz-prats/PokeCore.git","src/app/app.module.ts",43,"HARDCODED_SECRET","Potential hardcoded secret in property: apiKey"
"javier-gomariz-prats/PokeCore","https://github.com/javier-gomariz-prats/PokeCore.git","src/app/app.module.ts",55,"HARDCODED_SECRET","Potential hardcoded secret in property: apiKey"
"javier-gomariz-prats/PokeCore","https://github.com/javier-gomariz-prats/PokeCore.git","src/app/app.module.ts",62,"HARDCODED_SECRET","Potential hardcoded secret in property: apiKey"
"LucasSeraggi/TFG-Backend","https://github.com/LucasSeraggi/TFG-Backend.git","src/app.ts",13,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"joaoecsde/kademlia_tese","https://github.com/joaoecsde/kademlia_tese.git","src/http/app.ts",35,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"nirewen/uni-auto","https://github.com/nirewen/uni-auto.git","apps/api/src/main.ts",38,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/students.e2e-spec.ts",53,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/students.e2e-spec.ts",83,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/students.e2e-spec.ts",93,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/students.e2e-spec.ts",121,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/students.e2e-spec.ts",130,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/students.e2e-spec.ts",167,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/students.e2e-spec.ts",176,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/students.e2e-spec.ts",213,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/students.e2e-spec.ts",225,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/projects.e2e-spec.ts",53,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/projects.e2e-spec.ts",62,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/create-and-authenticate-students.ts",15,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/create-and-authenticate-students.ts",24,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/comments.e2e-spec.ts",37,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"boxy-smd/deck-api","https://github.com/boxy-smd/deck-api.git","test/e2e/comments.e2e-spec.ts",46,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"Elian-beep/code-scratch-back","https://github.com/Elian-beep/code-scratch-back.git","src/server.ts",33,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Luco97/stock-gql","https://github.com/Luco97/stock-gql.git","src/main.ts",9,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'"
"guilhermeaugvieira/MarvelBD2","https://github.com/guilhermeaugvieira/MarvelBD2.git","src/Dados/Data-Source.ts",9,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"guilhermeaugvieira/MarvelBD2","https://github.com/guilhermeaugvieira/MarvelBD2.git","src/API/Servidor.ts",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
