Repo,URL,File,Line,Type,Description
"justino1806/API-GerenciamentoEstoque-Cerealista","https://github.com/justino1806/API-GerenciamentoEstoque-Cerealista.git","server.js",17,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Th0mzzz/QuasArt","https://github.com/Th0mzzz/QuasArt.git","app.js",8,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"TheOne1006/tcc-node","https://github.com/TheOne1006/tcc-node.git","config/config.prod.js",51,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"FIRESIDE-STORY/NodeTCC","https://github.com/FIRESIDE-STORY/NodeTCC.git","lib/support/config.js",8,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"FIRESIDE-STORY/NodeTCC","https://github.com/FIRESIDE-STORY/NodeTCC.git","lib/support/config.js",15,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"FIRESIDE-STORY/NodeTCC","https://github.com/FIRESIDE-STORY/NodeTCC.git","lib/support/config.js",22,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"theokabir/TCC-Pets-Portal-API","https://github.com/theokabir/TCC-Pets-Portal-API.git","app.js",42,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Th3R3alDuk3/editor-docker","https://github.com/Th3R3alDuk3/editor-docker.git","public/js/output.js",35,"HARDCODED_SECRET","Potential hardcoded secret in property: token"
"Th3R3alDuk3/editor-docker","https://github.com/Th3R3alDuk3/editor-docker.git","public/js/output.js",36,"HARDCODED_SECRET","Potential hardcoded secret in property: token"
"Th3R3alDuk3/editor-docker","https://github.com/Th3R3alDuk3/editor-docker.git","public/js/output.js",37,"HARDCODED_SECRET","Potential hardcoded secret in property: token"
"EfrosEM/Heureka","https://github.com/EfrosEM/Heureka.git","app.js",35,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"EfrosEM/Heureka","https://github.com/EfrosEM/Heureka.git","config/passport.js",8,"HARDCODED_SECRET","Potential hardcoded secret in property: passwordField"
"EfrosEM/Heureka","https://github.com/EfrosEM/Heureka.git","public/js/users.js",7,"HARDCODED_SECRET","Potential hardcoded secret in property: password_error"
"EfrosEM/Heureka","https://github.com/EfrosEM/Heureka.git","public/js/users.js",16,"HARDCODED_SECRET","Potential hardcoded secret in property: password_error"
"EfrosEM/Heureka","https://github.com/EfrosEM/Heureka.git","public/js/reset-password.js",32,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"EfrosEM/Heureka","https://github.com/EfrosEM/Heureka.git","public/js/reset-password.js",39,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"EfrosEM/Heureka","https://github.com/EfrosEM/Heureka.git","public/js/login.js",9,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"EfrosEM/Heureka","https://github.com/EfrosEM/Heureka.git","public/js/login.js",15,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"AllisonSBahls/clinica-escola","https://github.com/AllisonSBahls/clinica-escola.git","app.js",30,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"AllisonSBahls/clinica-escola","https://github.com/AllisonSBahls/clinica-escola.git","config/auth.js",37,"HARDCODED_SECRET","Potential hardcoded secret in property: passwordField"
"BrunoAkT/ProjetoTCC.BackEnd","https://github.com/BrunoAkT/ProjetoTCC.BackEnd.git","src/index.js",8,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"GuilhermeLNTRO/Tro_Beats","https://github.com/GuilhermeLNTRO/Tro_Beats.git","app.js",197,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"jvsilva12600009/Trabalho-Conclusao-Curso-SGO","https://github.com/jvsilva12600009/Trabalho-Conclusao-Curso-SGO.git","src/middleware/session.js",82,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"gpacianotto/CRUD-Generator","https://github.com/gpacianotto/CRUD-Generator.git","app.js",35,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"SophiaAg/Boxpets-node","https://github.com/SophiaAg/Boxpets-node.git","app.js",11,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"lucas-leoni/desapegaqui-back","https://github.com/lucas-leoni/desapegaqui-back.git","server.js",11,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"PAHJunior/TCC-SGE-BackEnd","https://github.com/PAHJunior/TCC-SGE-BackEnd.git","app.js",35,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"PAHJunior/TCC-SGE-BackEnd","https://github.com/PAHJunior/TCC-SGE-BackEnd.git","app.js",38,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"gelsoniezzi/SIGCIM","https://github.com/gelsoniezzi/SIGCIM.git","app.js",24,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"gelsoniezzi/SIGCIM","https://github.com/gelsoniezzi/SIGCIM.git","config/auth.js",12,"HARDCODED_SECRET","Potential hardcoded secret in property: passwordField"
"vinibalbino/lockifmanager","https://github.com/vinibalbino/lockifmanager.git","app.js",43,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"vinibalbino/lockifmanager","https://github.com/vinibalbino/lockifmanager.git","app.js",45,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"luizschon/NovasCartas","https://github.com/luizschon/NovasCartas.git","backend/index.js",11,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"fePYHTCSSJS/cursos-online","https://github.com/fePYHTCSSJS/cursos-online.git","server.js",94,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"fePYHTCSSJS/cursos-online","https://github.com/fePYHTCSSJS/cursos-online.git","public/js/server.js",94,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"FISI-2025-II/FisiCollab","https://github.com/FISI-2025-II/FisiCollab.git","controllers/usuarioController.js",25,"HARDCODED_SECRET","Potential hardcoded secret in property: PASSWORD_NO_COINCIDEN"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","backend/server.js",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/backend/server.js",10,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/PerfilAluno.js",7,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/PerfilAluno.js",16,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/login/login.js",31,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/login/login.js",32,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/login/login.js",33,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/login/login.js",36,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/login/login.js",37,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/login/login.js",38,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/login/login.js",41,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"davisantanadev/StudioDoCorpo","https://github.com/davisantanadev/StudioDoCorpo.git","src/CodigoJS/login/login.js",42,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"limabarreto/sagarana","https://github.com/limabarreto/sagarana.git","server.js",21,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"GuiGuerreiroo/PI_etec_2sem","https://github.com/GuiGuerreiroo/PI_etec_2sem.git","back/app/server.ts",15,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Bernardo1401/Back-end_LogisTech","https://github.com/Bernardo1401/Back-end_LogisTech.git","server.js",17,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"IsaacMyJ93/Call-Inversion-Backend","https://github.com/IsaacMyJ93/Call-Inversion-Backend.git","src/index.js",19,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"mariagvaliente/TFG","https://github.com/mariagvaliente/TFG.git","app.js",52,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"mariagvaliente/TFG","https://github.com/mariagvaliente/TFG.git","public/scorm/config_lms.js",2,"DEBUG_MODE_ON","Debug mode enabled in configuration"
"mariagvaliente/TFG","https://github.com/mariagvaliente/TFG.git","public/scorm/SCORM_Player.js",15,"DEBUG_MODE_ON","Debug mode enabled in configuration"
"mariagvaliente/TFG","https://github.com/mariagvaliente/TFG.git","public/scorm/Local_API_SCORM_12.js",41,"DEBUG_MODE_ON","Debug mode enabled in configuration"
"mariagvaliente/TFG","https://github.com/mariagvaliente/TFG.git","public/scorm/Local_API_1484_11.js",42,"DEBUG_MODE_ON","Debug mode enabled in configuration"
"franxu99/api-github","https://github.com/franxu99/api-github.git","index.js",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"franxu99/api-github","https://github.com/franxu99/api-github.git","db.js",6,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"DiegoRold/BibliotecaOnline","https://github.com/DiegoRold/BibliotecaOnline.git","server.js",32,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
