Repo,File,Line,Type,Description,Status,ReviewerNote
"justino1806/API-GerenciamentoEstoque-Cerealista","server.js",17,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"Th0mzzz/QuasArt","app.js",8,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","CORRETO","Manual audit done"
"TheOne1006/tcc-node","config/config.prod.js",51,"HARDCODED_SECRET","Potential hardcoded secret in property: password","NAO_SE_APLICA","Manual audit done"
"FIRESIDE-STORY/NodeTCC","lib/support/config.js",8,"HARDCODED_SECRET","Potential hardcoded secret in property: password","NAO_SE_APLICA","Manual audit done"
"FIRESIDE-STORY/NodeTCC","lib/support/config.js",15,"HARDCODED_SECRET","Potential hardcoded secret in property: password","NAO_SE_APLICA","Manual audit done"
"FIRESIDE-STORY/NodeTCC","lib/support/config.js",22,"HARDCODED_SECRET","Potential hardcoded secret in property: password","NAO_SE_APLICA","Manual audit done"
"theokabir/TCC-Pets-Portal-API","app.js",42,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"Th3R3alDuk3/editor-docker","public/js/output.js",35,"HARDCODED_SECRET","Potential hardcoded secret in property: token","NAO_SE_APLICA","Manual audit done"
"Th3R3alDuk3/editor-docker","public/js/output.js",36,"HARDCODED_SECRET","Potential hardcoded secret in property: token","NAO_SE_APLICA","Manual audit done"
"Th3R3alDuk3/editor-docker","public/js/output.js",37,"HARDCODED_SECRET","Potential hardcoded secret in property: token","NAO_SE_APLICA","Manual audit done"
"EfrosEM/Heureka","app.js",35,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","NAO_SE_APLICA","Manual audit done"
"EfrosEM/Heureka","config/passport.js",8,"HARDCODED_SECRET","Potential hardcoded secret in property: passwordField","NAO_SE_APLICA","Manual audit done"
"EfrosEM/Heureka","public/js/users.js",7,"HARDCODED_SECRET","Potential hardcoded secret in property: password_error","NAO_SE_APLICA","Manual audit done"
"EfrosEM/Heureka","public/js/users.js",16,"HARDCODED_SECRET","Potential hardcoded secret in property: password_error","NAO_SE_APLICA","Manual audit done"
"EfrosEM/Heureka","public/js/reset-password.js",32,"HARDCODED_SECRET","Potential hardcoded secret in property: password","NAO_SE_APLICA","Manual audit done"
"EfrosEM/Heureka","public/js/reset-password.js",39,"HARDCODED_SECRET","Potential hardcoded secret in property: password","NAO_SE_APLICA","Manual audit done"
"EfrosEM/Heureka","public/js/login.js",9,"HARDCODED_SECRET","Potential hardcoded secret in property: password","NAO_SE_APLICA","Manual audit done"
"EfrosEM/Heureka","public/js/login.js",15,"HARDCODED_SECRET","Potential hardcoded secret in property: password","NAO_SE_APLICA","Manual audit done"
"AllisonSBahls/clinica-escola","app.js",30,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","CORRETO","Manual audit done"
"AllisonSBahls/clinica-escola","config/auth.js",37,"HARDCODED_SECRET","Potential hardcoded secret in property: passwordField","INCORRETO","Manual audit done"
"BrunoAkT/ProjetoTCC.BackEnd","src/index.js",8,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"GuilhermeLNTRO/Tro_Beats","app.js",197,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","INCORRETO","Manual audit done"
"jvsilva12600009/Trabalho-Conclusao-Curso-SGO","src/middleware/session.js",82,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","INCORRETO","Manual audit done"
"gpacianotto/CRUD-Generator","app.js",35,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","INCORRETO","Manual audit done"
"SophiaAg/Boxpets-node","app.js",11,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","CORRETO","Manual audit done"
"lucas-leoni/desapegaqui-back","server.js",11,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"PAHJunior/TCC-SGE-BackEnd","app.js",35,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"PAHJunior/TCC-SGE-BackEnd","app.js",38,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","CORRETO","Manual audit done"
"gelsoniezzi/SIGCIM","app.js",24,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","CORRETO","Manual audit done"
"gelsoniezzi/SIGCIM","config/auth.js",12,"HARDCODED_SECRET","Potential hardcoded secret in property: passwordField","INCORRETO","Manual audit done"
"vinibalbino/lockifmanager","app.js",43,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"vinibalbino/lockifmanager","app.js",45,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","CORRETO","Manual audit done"
"luizschon/NovasCartas","backend/index.js",11,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"fePYHTCSSJS/cursos-online","server.js",94,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","CORRETO","Manual audit done"
"fePYHTCSSJS/cursos-online","public/js/server.js",94,"HARDCODED_SECRET","Potential hardcoded secret in property: secret","CORRETO","Manual audit done"
"FISI-2025-II/FisiCollab","controllers/usuarioController.js",25,"HARDCODED_SECRET","Potential hardcoded secret in property: PASSWORD_NO_COINCIDEN","NAO_SE_APLICA","Manual audit done"
"davisantanadev/StudioDoCorpo","backend/server.js",6,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/backend/server.js",10,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/PerfilAluno.js",7,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/PerfilAluno.js",16,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",31,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",32,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",33,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",36,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",37,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
"davisantanadev/StudioDoCorpo","src/CodigoJS/login/login.js",38,"HARDCODED_SECRET","Potential hardcoded secret in property: password","INCORRETO","Manual audit done"
