Repo,File,Line,Type,Description,Status,ReviewerNote
Herick2D/bot-academico,src/server.ts,11.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,
YasArcher/back-economia,src/app.ts,9.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
Trino11/TFG-Backend-API_REST,src/index.ts,53.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
Trino11/TFG-Backend_Auth-API_REST,src/index.ts,39.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
javier-gomariz-prats/PokeCore,src/app/app.module.ts,43.0,HARDCODED_SECRET,Potential hardcoded secret in property: apiKey,NAO_SE_APLICA,Manual audit done
javier-gomariz-prats/PokeCore,src/app/app.module.ts,55.0,HARDCODED_SECRET,Potential hardcoded secret in property: apiKey,NAO_SE_APLICA,Manual audit done
javier-gomariz-prats/PokeCore,src/app/app.module.ts,62.0,HARDCODED_SECRET,Potential hardcoded secret in property: apiKey,NAO_SE_APLICA,Manual audit done
Luco97/stock-gql,src/main.ts,9.0,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true',NAO_SE_APLICA,Manual audit done
mwenyo/mb-eventos,src/server.ts,117.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
GustavoSantosCS/command-backend,tests/domain/mock/usecases/create-session-usecase-spy.ts,8.0,HARDCODED_SECRET,Potential hardcoded secret in property: token,NAO_SE_APLICA,Manual audit done
Sans-arch/gamehub-backend,src/tests/services/userService.ts,94.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,NAO_SE_APLICA,Manual audit done
Sans-arch/gamehub-backend,src/tests/services/userService.ts,109.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,NAO_SE_APLICA,Manual audit done
santialvarez0207/WorldLO,server/app.ts,17.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
The-Tito/readflow-backend,src/app.ts,18.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
Tr3sar/connecTFG-frontend,src/environments/environment.prod.ts,3.0,HARDCODED_SECRET,Potential hardcoded secret in property: secretKey,NAO_SE_APLICA,Manual audit done
Tr3sar/connecTFG-frontend,src/app/core/model/mock-user-list.ts,4.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,NAO_SE_APLICA,Manual audit done
Tr3sar/connecTFG-frontend,src/app/core/model/mock-user-list.ts,7.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,NAO_SE_APLICA,Manual audit done
Tr3sar/connecTFG-frontend,src/app/core/model/mock-user-list.ts,10.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,NAO_SE_APLICA,Manual audit done
Tr3sar/connecTFG-frontend,src/app/core/model/mock-user-list.ts,13.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,NAO_SE_APLICA,Manual audit done
Tr3sar/connecTFG-frontend,src/app/core/model/mock-user-list.ts,16.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,NAO_SE_APLICA,Manual audit done
len5ky/CursorRemote,src/server/relay.ts,241.0,HARDCODED_SECRET,Potential hardcoded secret in property: token,NAO_SE_APLICA,Manual audit done
QuaLeiDer/qualeider-server,src/daily-collections/daily-collections.controller.ts,41.0,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true',NAO_SE_APLICA,Manual audit done
QuaLeiDer/qualeider-server,src/daily-collections/daily-collections.controller.ts,183.0,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true',NAO_SE_APLICA,Manual audit done
QuaLeiDer/qualeider-server,src/animals/animals.controller.ts,40.0,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true',NAO_SE_APLICA,Manual audit done
QuaLeiDer/qualeider-server,src/animals/animals.controller.ts,143.0,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true',NAO_SE_APLICA,Manual audit done
KhalidCEU/proyectoWeb2,src/index.ts,15.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
hedonvictor/PostosMervil,src/server/Server.ts,11.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
elena-calcada/agrotec-api,src/shared/infra/http/app.ts,21.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
d3vlopes/school-management,src/main/config/middleware.ts,6.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),NAO_SE_APLICA,Manual audit done
d3vlopes/school-management,src/docs/definitions/modules/student/login/index.ts,9.0,HARDCODED_SECRET,Potential hardcoded secret in property: token,NAO_SE_APLICA,Manual audit done
d3vlopes/school-management,src/docs/definitions/modules/teacher/login/index.ts,9.0,HARDCODED_SECRET,Potential hardcoded secret in property: token,NAO_SE_APLICA,Manual audit done
d3vlopes/school-management,src/docs/definitions/modules/admin/login/index.ts,9.0,HARDCODED_SECRET,Potential hardcoded secret in property: token,NAO_SE_APLICA,Manual audit done
KayoRonald/euajudo-back-end,src/shared/http/server.ts,15.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),INCORRETO,Manual audit done
FelipeModena/trabalhante-base-api,src/main.ts,7.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),INCORRETO,
joaoecsde/kademlia_tese,src/http/app.ts,35.0,INSECURE_CORS,Permissive CORS policy (Wildcard detected),INCORRETO,
mateusxxlima/fisio-backend,src/auth/jwt.strategy.ts,11.0,HARDCODED_SECRET,Potential hardcoded secret in property: secretOrKey,INCORRETO,
NessKawl/API_driveparts,src/auth/strategies/local.strategy.ts,11.0,HARDCODED_SECRET,Potential hardcoded secret in property: passwordField,INCORRETO,
luissavighago/chatbotAcademico-frontend,src/app/components/home/header/header.component.ts,15.0,HARDCODED_SECRET,Potential hardcoded secret in property: apiKey,INCORRETO,Manual audit done
guilhermeaugvieira/MarvelBD2,src/Dados/Data-Source.ts,9.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
mateusxxlima/fisio-backend,src/auth/auth.module.ts,17.0,HARDCODED_SECRET,Potential hardcoded secret in property: secret,INCORRETO,Manual audit done
Jao-Rocha/onebitflix,src/adminjs/locale.ts,50.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
Jao-Rocha/onebitflix,src/adminjs/authentication.ts,23.0,HARDCODED_SECRET,Potential hardcoded secret in property: cookiePassword,INCORRETO,Manual audit done
Jao-Rocha/onebitflix,src/database/index.ts,9.0,HARDCODED_SECRET,Potential hardcoded secret in property: password,INCORRETO,Manual audit done
diname/tech-challenge-fiap,src/domain/services/auth/auth.service.impl.ts,20.0,HARDCODED_SECRET,Potential hardcoded secret in property: tokenUse,INCORRETO,Manual audit done
