Nome,URL,Stars,Framework,Descricao
justino1806/API-GerenciamentoEstoque-Cerealista,https://github.com/justino1806/API-GerenciamentoEstoque-Cerealista.git,2,Backend Detectado (express),"API usada para intermediação da comunicação entre o front e banco do sistema de gerenciamento de estoque Cerealista Souza realizado como TCC"
Th0mzzz/QuasArt,https://github.com/Th0mzzz/QuasArt.git,2,Backend Detectado (express),"Trabalho de Conclusão de Curso chamado de Quasart."
TheOne1006/tcc-node,https://github.com/TheOne1006/tcc-node.git,3,Backend Detectado (sequelize),"node 版本的 tcc 事务服务"
FIRESIDE-STORY/NodeTCC,https://github.com/FIRESIDE-STORY/NodeTCC.git,6,Backend Detectado (sequelize),"Node.js分布式事务框架  NodeTCC is an open source distributed transaction solution for Node.js"
PAM-Chatbot/pam-bot-server,https://github.com/PAM-Chatbot/pam-bot-server.git,1,Backend Detectado (express),"Servidor em node.js do projeto PAM (TCC UNICID)"
theokabir/TCC-Pets-Portal-API,https://github.com/theokabir/TCC-Pets-Portal-API.git,6,Backend Detectado (express),"API criado para o projeto Pet's Portal"
Th3R3alDuk3/editor-docker,https://github.com/Th3R3alDuk3/editor-docker.git,1,Backend Detectado (express),"online editor that runs docker on the server side (multiple compilers)"
MiguelG7/Chischas,https://github.com/MiguelG7/Chischas.git,1,Backend Detectado (express),"TFG de Ingeniería de Sistemas de Información ♟️ sobre aplicación online de ajedrez basada en Node.js y Express. Código abierto ^^"
EfrosEM/Heureka,https://github.com/EfrosEM/Heureka.git,1,Backend Detectado (express),"Aplicación gamificada utilizada en la asignatura Interfaces de Usuario  del Grado de Ingeniería Informática de la Universidad de Murcia  para promover entre los alumnos el aprendizaje de las 10 heurísticas de Nielsen."
AllisonSBahls/clinica-escola,https://github.com/AllisonSBahls/clinica-escola.git,3,Backend Detectado (express),"O ClinSchool é uma aplicação Node.js com Template EJS com foco em no gerenciamento de clínicas escolas de psicologia  desenvolvido como Trabalho de Conclusão de Curso em Análise e Desenvolvimento de Sistemas. A aplicação foi desenvolvida para auxiliar nos registros de atendimentos da clinica escola de Psicologia da Faculdade da Amazônia  facilitando os pacientes visualizarem as suas consultas e permite o estagiário e coordenador um controle melhor os atendimentos marcados."
MateusBittenca/Gerenciamento-de-exercicios-fisicos,https://github.com/MateusBittenca/Gerenciamento-de-exercicios-fisicos.git,1,Backend Detectado (express),"Aplicação WEB voltada ao gerencimento de exercícios físicos (musculação)  desenvolvido em trio para o trabalho de conclusão de curso (TCC) do curso técnico em informática  utilizando as tecnologias e boas práticas aprendidas no curso: API Rest  Node.JS  Express.js  Token  Sessão  JavaScript  HTML  CSS  MySQL"
victorfreire7/Facil-Solidario,https://github.com/victorfreire7/Facil-Solidario.git,7,Backend Detectado (express),"Fácil solidário é um trabalho de conclusão de curso desenvolvido na ETEC Professor Adhemar Batista Heméritas.  Este projeto tem como objetivo facilitar a doação de alimentos em instituições já existentes."
Nuschhz/SkateSantosAPI,https://github.com/Nuschhz/SkateSantosAPI.git,1,Backend Detectado (express),"API em desenvolvimento para trabalho de conclusão de curso"
BrunoAkT/ProjetoTCC.BackEnd,https://github.com/BrunoAkT/ProjetoTCC.BackEnd.git,1,Backend Detectado (express),"Versao de Desenvolvimento de um Trabalho de Conclusao de Curso BackEnd"
GuilhermeLNTRO/Tro_Beats,https://github.com/GuilhermeLNTRO/Tro_Beats.git,1,Backend Detectado (express),"Trabalho de Conclusão de Curso do IFB:                   TROBeats um site de vendas de Beats musicais"
jvsilva12600009/Trabalho-Conclusao-Curso-SGO,https://github.com/jvsilva12600009/Trabalho-Conclusao-Curso-SGO.git,1,Backend Detectado (express),"Projeto desenvolvido como Trabalho de Conclusão de Curso (TCC) no curso técnico em Informática. Trata-se de um sistema para gerenciar ordens de manutenção automotiva  construído com tecnologias como Node.js  JavaScript  jQuery  HTML  CSS  EJS e Less."
GustavoTT/REST-API-Your-Guide-TCC,https://github.com/GustavoTT/REST-API-Your-Guide-TCC.git,1,Backend Detectado (express),"Projeto desenvolvido em grupo com fins acadêmicos  perante demanda para o Trabalho de Conclusão de Curso do técnico em Desenvolvimento de Sistemas realizado no Senai Alvares Romi."
gpacianotto/CRUD-Generator,https://github.com/gpacianotto/CRUD-Generator.git,1,Backend Detectado (express),"CRUD-Generator é o meu Trabalho de Conclusão de Curso  realizado durante a graduação no curso de Bacharelado de Ciência da Computação da FCT-UNESP - Presidente Prudente."
SophiaAg/Boxpets-node,https://github.com/SophiaAg/Boxpets-node.git,1,Backend Detectado (express),"Este é o meu Trabalho de Conclusão de Curso (TCC) do ensino médio  realizado na escola ITB Brasílio Flores de Azevedo (FIEB)  no curso de Informática para Internet  concluído em 2024. O projeto foi desenvolvido utilizando Node.js  aplicando estratégias e conhecimentos adquiridos ao longo das aulas. Abaixo  segue o link para acesso ao projeto."
freiree7/TCC---Desenvolvimento-Web-JS-HTML-CSS-,https://github.com/freiree7/TCC---Desenvolvimento-Web-JS-HTML-CSS-.git,1,Backend Detectado (express),"Aplicação WEB voltada ao gerencimento de exercícios físicos (musculação)  desenvolvida em trio para o trabalho de conclusão de curso (TCC) do curso técnico em informática  utilizando as tecnologias e boas práticas aprendidas no curso: API Rest  Token  Sessão  JavaScript  HTML  CSS  MySQL"
lucas-leoni/desapegaqui-back,https://github.com/lucas-leoni/desapegaqui-back.git,1,Backend Detectado (express),"API que eu desenvolvi para o Desapegaqui  projeto que serviu como trabalho de conclusão de curso para obtenção do título de Tecnólogo em Sistemas para Internet da Faculdade IELUSC."
PAHJunior/TCC-SGE-BackEnd,https://github.com/PAHJunior/TCC-SGE-BackEnd.git,1,Backend Detectado (express),"Trabalho de conclusão de curso - SISTEMA DE GERENCIAMENTO DE ESTOQUE - ETEC de Embu - curso: desenvolvimento de sistemas - Integrantes Paulo Arthur  Natalia Pires  Polyana Feitosa"
isa16/VirtualBorn-Servidor,https://github.com/isa16/VirtualBorn-Servidor.git,1,Backend Detectado (express),"Este repositório contém os códigos utilizados para o Back-end para criação de um aplicativo nativo  resultante de um trabalho de conclusão de curso."
gelsoniezzi/SIGCIM,https://github.com/gelsoniezzi/SIGCIM.git,1,Backend Detectado (express),"Sistema de gerenciamento de compras de insumos de manutenção. Trabalho de conclusão de curso de ciência da computação"
vinibalbino/lockifmanager,https://github.com/vinibalbino/lockifmanager.git,1,Backend Detectado (express),"Projeto de Trabalho de Conclusão de curso  Sistema de gerenciamento de uma trava eletrônica. CMS apenas com JS"
luizdebem/revisa-ai-backend,https://github.com/luizdebem/revisa-ai-backend.git,1,Backend Detectado (express),"Trabalho de Conclusão de Curso - Sistemas de Informação UNISUL 2022.2"
luizschon/NovasCartas,https://github.com/luizschon/NovasCartas.git,1,Backend Detectado (mongoose),"Projeto Final da disciplina de Projeto e Análise de Algortimos (PAA - 2022/1) na Universidade de Brasília. Seriam nossos heróis capazes de sobreviverem mais um semestre? Hoje a noite  em Temperatura Máxima!"
sandbox-systms/minilab-computacional,https://github.com/sandbox-systms/minilab-computacional.git,0,Backend Detectado (express),"Projeto academico - Uniasselvi "
withlovesah/feedbackCafeteria,https://github.com/withlovesah/feedbackCafeteria.git,1,Backend Detectado (express),"Projeto acadêmico de aplicação web utilizando Express para criação de servidor HTTP e processamento de dados de um formulário HTML de feedback de uma cafeteria"
fePYHTCSSJS/cursos-online,https://github.com/fePYHTCSSJS/cursos-online.git,1,Backend Detectado (express),"Site de vendas de cursos online desenvolvido com Node.js — Projeto Acadêmico Unoeste"
FISI-2025-II/FisiCollab,https://github.com/FISI-2025-II/FisiCollab.git,1,Backend Detectado (express),"Plataforma web full-stack para compartir recursos académicos de forma colaborativa. Desarrollada con Node.js  Express y MySQL usando arquitectura MVC profesional. Incluye autenticación segura  gestión de recursos y diseño responsive."
franksparks/TFG-FerranBals-ExpedienteUOCVue-API,https://github.com/franksparks/TFG-FerranBals-ExpedienteUOCVue-API.git,1,Backend Detectado (express),"API para la obtención de expedientes académicos de alumnos de la UOC"
davisantanadev/StudioDoCorpo,https://github.com/davisantanadev/StudioDoCorpo.git,1,Backend Detectado (express),"Trabalho prático acadêmico voltado para o desenvolvimento de uma aplicação web para uma academia local"
limabarreto/sagarana,https://github.com/limabarreto/sagarana.git,1,Backend Detectado (express),"O Sagarana é um sistema de acervo universitário — um espaço onde estudantes poderão publicar livros  artigos  resenhas e eventos  criando um acervo colaborativo e acadêmico."
carlosqbarbosa/ZenUp-Backend,https://github.com/carlosqbarbosa/ZenUp-Backend.git,1,Backend Detectado (express),"Projeto acadêmico ZenUp para a faculdade UNIT-PE 25.2"
