Nome,URL,Stars,Framework,Descricao
Artur-Poffo/Code-Spark-API,https://github.com/Artur-Poffo/Code-Spark-API.git,2,Backend Detectado (fastify),"Entra21 course TCC  Back-End"
dtm-labs/dtmcli-node,https://github.com/dtm-labs/dtmcli-node.git,24,Backend Detectado (sequelize),"a node client for distributed transaction framework dtm. "
KayoRonald/euajudo-back-end,https://github.com/KayoRonald/euajudo-back-end.git,2,Backend Detectado (express),"Back-end do Eu Ajudo"
tauisilva/valorant-app,https://github.com/tauisilva/valorant-app.git,1,Backend Detectado (express),"Dados do valorant "
thalesmanoel/autogestor-server,https://github.com/thalesmanoel/autogestor-server.git,1,Backend Detectado (express),"Repositório backend do trabalho de conclusão de curso  AutoGestor"
joaowinkelmann/finalflow-api,https://github.com/joaowinkelmann/finalflow-api.git,1,Backend Detectado (express),"Finalflow - Gestão de Trabalhos de Conclusão de Curso (TCC)"
iury-assuncao/voluntaria-tech-backend,https://github.com/iury-assuncao/voluntaria-tech-backend.git,1,Backend Detectado (express),"Projeto desenvolvido como Trabalho de Conclusão de Curso  com foco na aplicação dos princípios da Clean Architecture  visando uma estrutura de código mais organizada  modular e de fácil manutenção."
FelipeModena/trabalhante-base-api,https://github.com/FelipeModena/trabalhante-base-api.git,1,Backend Detectado (express),"# trabalhante  Trabalho de conclusao de curso de Bacharel de Ciencia da Computação com o intuito de faclitar a vida de empregdos e empregadores com metodologias rotativas de trabalho"
leonardojribeiro/Sistema-de-gerenciamento-de-oficinas-back-end,https://github.com/leonardojribeiro/Sistema-de-gerenciamento-de-oficinas-back-end.git,3,Backend Detectado (express),"Esse projeto está foi como requisito parcial de avaliação do trabalho de conclusão de curso de Sistemas de Informação da Universidade Estadual de Goiás - Unidade de Itaberaí. Tendo como principal objetivo auxiliar no cotidiano das oficinas automobilísticas."
guilhermecaixeta/SISGESPORT-FrontEnd,https://github.com/guilhermecaixeta/SISGESPORT-FrontEnd.git,1,Backend Detectado (express),"Front-end do sistema de gestão de eventos esportivos do Instituto Federal de Goiás - Trabalho de Conclusão de Curso. "
