Repo,File,Line,Type,Description,Status,ReviewerNote
"KayoRonald/euajudo-back-end","src/shared/http/server.ts",15,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","DEPENDE","Manual audit done"
"joaowinkelmann/finalflow-api","src/main.ts",11,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'","CORRETO","Manual audit done"
"iury-assuncao/voluntaria-tech-backend","src/index.ts",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","DEPENDE","Manual audit done"
"FelipeModena/trabalhante-base-api","src/main.ts",7,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","DEPENDE","Manual audit done"
"brunokobi/tccbackend","src/server.ts",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"FelipeRodrigues1337/mybarber-backend","src/shared/infra/http/server.ts",19,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"ralfferreira/hexperience-api","src/shared/infra/http/server.ts",21,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","DEPENDE","Manual audit done"
"leonardo02lobo/Calcular-Indice-Academico-Backend","src/app.ts",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","CORRETO","Manual audit done"
"Matheus-Merlos/Crassus-API","src/main.ts",7,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'","DEPENDE","Manual audit done"
"renanjava/testes-escola-de-TI","src/main.ts",9,"NESTJS_MASS_ASSIGNMENT","ValidationPipe missing 'whitelist: true'","CORRETO","Manual audit done"
"YasArcher/back-economia","src/app.ts",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","NAO_SE_APLICA","Manual audit done"
"Herick2D/bot-academico","src/server.ts",11,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)","DEPENDE","Manual audit done"
